nama_produk,link_produk,harga,jumlah_terjual,toko,rating
"Ujung jari pulse oximeter saturasi oksigen darah dan deteksi detak jantung dalam 5 detik multifungsi portabel
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/4g2dhbp-jual-ujung-jari-pulse-oximeter-saturasi-oksigen-darah-dan-deteksi-detak-jantung-dalam-5-detik-multifungsi-portabel,55339,6,SUN666,5
"Fingertip Pulse Oximeter / Oximetro / Oxymeter / Oxi / Oxy Saturometer Oximetry SpO2 LV-80
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/3f9vo7-jual-fingertip-pulse-oximeter-oximetro-oxymeter-oxi-oxy-saturometer-oximetry-spo2-lv-80,87360,526,wiki mall,4.8
"Oximeter SP02 Heart Rate Fingertip Pulse LK87 AB-88 Alat Ukur Kadar Oksigen Darah dan Detak Jantung - HOMIA
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/48owmd8-jual-oximeter-sp02-heart-rate-fingertip-pulse-lk87-ab-88-alat-ukur-kadar-oksigen-darah-dan-detak-jantung-homia,32000,254,HOMIA,4.9
"YUWELL Oxymeter Fingertip Pulse Oximeter akurat bukan omron beurer
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/alat-bantu-kesehatan/4gc2pod-jual-yuwell-oxymeter-fingertip-pulse-oximeter-akurat-bukan-omron-beurer,328000,14,Jonathanjojo,5
"OXIMETER FINGERTIP PULSE LK87 AB-88 Pengukur Kadar Oksigen Darah detak Jantung Oxymeter Alat Ukur spO2
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/alat-bantu-kesehatan/48og90p-jual-oximeter-fingertip-pulse-lk87-ab-88-pengukur-kadar-oksigen-darah-detak-jantung-oxymeter-alat-ukur-spo2,32000,1166,HandphoneTiam,4.8
"Fingertip Pulse Oximeter Oxymeter Spo2 - oxymeter pulse alat oksigen - Alat cek oksigen dalam tubuh  - alat pengukur saturasi oksigen - Oxymeter Murah
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/alat-bantu-kesehatan/4g3onjy-jual-fingertip-pulse-oximeter-oxymeter-spo2-oxymeter-pulse-alat-oksigen-alat-cek-oksigen-dalam-tubuh-alat-pengukur-saturasi-oksigen-oxymeter-murah,49000,26,bajugrosirecer,4.7
"Fingertip pulse oximeter blood oxygen saturation dan heart rate detection dalam 5 detik multifunctional portable suitable for family travel
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/4g1l4r7-jual-fingertip-pulse-oximeter-blood-oxygen-saturation-dan-heart-rate-detection-dalam-5-detik-multifunctional-portable-suitable-for-family-travel,18500,471,Luckyelectro,5
"Oximeter LK88 Fingertip Pulse Oxymeter Lk-88 Alat Ukur Kadar Oksigen Detak Jantung Oksimeter spO2
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/49b2lyk-jual-oximeter-lk88-fingertip-pulse-oxymeter-lk-88-alat-ukur-kadar-oksigen-detak-jantung-oksimeter-spo2,62000,158,GangEnam Cell,4.8
"Fingertip Pulse Oximeter SpO2 Alat Ukur Kadar Oksigen Darah
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/alat-bantu-kesehatan/3zzikwg-jual-fingertip-pulse-oximeter-spo2-alat-ukur-kadar-oksigen-darah,46189,816,Nofar,4.8
"Fingertip Pulse Oximeter LV-80 / Oximetro Saturometer Oximetry SpO2
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/alat-bantu-kesehatan/3f9szb-jual-fingertip-pulse-oximeter-lv-80-oximetro-saturometer-oximetry-spo2,91000,1155,LIVOTECH,4.8
